idEvento,idLocal,inicio,cep,descricao
839427782897260,836555646382493,2017-11-02T21:00:00-0200,30130-160,A Deserto Elétrico tem o prazer de apresentar TIGERS JAW em BHOs Tigers Jaw são uma banda de Scranton Pennsylvania formada em 2005. O duo que é formado por Ben Walsh e Brianna Collins é conhecido por uma mistura de Emo Indie Rock e elementos de Pop Punk com vocais fortes e harmonias suaves.Se apresentando pela segunda vez no Brasil a banda passa por Belo Horizonte no dia 02 de novembro para um show que promete ser histório na A Autêntica.Pra abertura do evento convidamos:BRVNKS (GO)Já não é novidade para ninguém que Goiânia é um dos principais centros musicais do país. Inúmeras bandas surgiram nos últimos cinco anos na capital; o ecossistema criado se mostra cada vez mais diverso e permissivo para que artistas encontrem um público local antes de sua expansão cada vez mais certeira rumo aos centros do Brasil. Dentro desse ambiente rejuvenescido Bruna Guimarães se enquadra como um observadora de música estrangeira que a tomou sob modos brasileiros......Lanches é apenas o primeiro tira gosto de uma compositora de mão cheia. Composto e feito inteiramente por Bruna dos arranjos de guitarra as linhas suaves de teclado ­ é a prova viva do poder de sua independência e capacidade. Sem aulas e professores Brvnks aprendeu na vida a escolher o que gostaria de criar sendo sua estreia a síntese de um processo em evolução e sem forma definitiva. Por caminhar na contramão das sonoridades de Goiânia e fazê-­la de forma tão precisa e Pop podemos ter certeza de que novos sabores serão extraídos de sua frutífera e futura discografia. Produzido por Edimar Filho o EP é mais um ótimo lançamento da Dull Dog Records que aos poucos vem criando seu espaço no cenário independente no Brasil.Miêta (MG)Um post no facebook gerou Miêta que é formada por Célia Regina (guitarra) Marcela Lopes (baixo vocais) Bruna Vilela (guitarra) e Luiz Ramos (bateria). Seu primeiro álbum Dive tem previsão de lançamento para o segundosemestre de 2017.A banda banda integra desde 2017 os selos PWR Records (PE) e Howlin’ Records (SP) e já soma 4 turnês pelos estados do GO RJ SP e MG e aberturas para Wry Pin Ups e Ventre relevantes nomes da música independente brasileira. Com fortes influências de shoegaze garage rock indie e dream pop Miêta vem trilhando um caminho honesto e intenso com shows marcantes principalmente pela entrega à musica e paixão pelo palco.--SERVIÇOData: 02/11Hora: 21HLocal: A Autêntica - R. Alagoas 1172 - Savassi Belo Horizonte - MG 30130-160 VALORESMeia e Inteira Social - Lote Promo: R$70 (MEDIANTE DOAÇÃO DE UM 1KG DE ALIMENTO OU LIVRO)Inteira - Lote Promo: R$140Meia e Inteira Social - Antecipado: R$80 (MEDIANTE DOAÇÃO DE UM 1KG DE ALIMENTO OU LIVRO)Inteira - Antecipado: R$160Na porta: R$ 90/R$180+18 A entrada de menor de 18 anos só é permitida se acompanhado dos pais ou responsável legal.Aceitamos cartões de crédito Visa Mastercard Elo American Express e DinersNão aceitamos chequesNão possuímos guarda-volumesPermitimos o acesso com mochila desde que a mesma seja revistadaSujeito a lotação
146738622578322,836555646382493,2017-10-21T22:00:00-0200,30130-160,Maglore chega a Belo Horizonte para o show de lançamento do disco TODAS AS BANDEIRAS. A apresentação acontece no dia 21 de outubro (sábado) n'A Autêntica. O repertório do show conta com as canções de Todas as Bandeiras e também com os sucessos dos álbuns III Vamos pra Rua e Veroz.Na mesma noite acontecem também os shows das bandas O Caso e Damas do Nada.Ingressos antecipados à venda em www.sympla.com/aautentica e n'A Autêntica de segunda à sexta de 08h às 18h.Ouça Maglore: http://spoti.fi/1WmKvB3 Ouça O Caso: http://spoti.fi/2vp5EV6Ouça Damas do Nada: http://spoti.fi/2vH75czSERVIÇOQuem: Maglore + O Caso + Damas do NadaQuando: 21 de outubro sábado - 22hOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BH MGQuanto: 20$ promocional / 30$ antecipado / 40$ portaria-- Venda Antecipada n'A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com/aautenticaAbertura da casa: 22hShows: 23h+ Show para maiores (e/ou menor de 18 acompanhado dos pais ou responsável legal com a guarda do menor)+ Aceita-se cartões crédito e débito (visa master elo american express diners).+ Cheques não+ Não tem guarda-volumes (mas pode entrar com mochila but é revistada)+ Sujeito a lotação
1419099838185924,836555646382493,2017-10-14T21:00:00-0300,30130-160,Haroldo & o Mundo e Gabriel Elias apresentam Aquário #1Com base nos primórdios dos eventos de rock e psicodelia acontecerá n’a Autêntica consagrada casa de show belorizontina a segunda exposição aquariana de Belo Horizonte. Uma noite de paz e música.Na noite receberemos o conjunto paraibense Glue Trip pela primeira vez em BH. O projeto encabeçado por Lucas Moura passeia pelo dream pop a bossa nova e o rock psicodélico em faixas mais introspectivas e experimentais tudo num clima mais ensolarado e muitas vezes praiano. Também contaremos com os conjuntos mineiros Lamparina e A Primavera Mineiros da Lua e Arthur Melo apresentando seus sons que vão de ritmos tradicionais brasileiros como maracatu e samba até o jazz blues e experimentalismo psicodélico.A casa de shows A Autêntica dispõe de uma incrível estrutura para as apresentações e também de um cardápio rico em opções de drinks cervejas e comidinhas para que o público possa ter uma ótima noite em diversos âmbitos.Venha viver uma experiência de paz e música.Ouça Glue Trip: https://open.spotify.com/artist/6b13SQkJSBYJxUoG8TaDcYOuça Lamparina e a Primavera: https://open.spotify.com/artist/5ns5AETnaauYQUBHNHgW1dOuça Mineiros da Lua: https://open.spotify.com/artist/5ns5AETnaauYQUBHNHgW1dOuça Arthur Melo: https://open.spotify.com/artist/0WkmF3ljAg1qh8VCKMMaOgServiçoO que: Aquário #1Quem: Glue Trip (PB) + Lamparina e a Primavera + Mineiros da Lua + Arthur MeloQuando: 14 de Outubro - 21hOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BH MGQuanto: 20$ antecipado / 30$ portariaAbertura da casa: 21hShows: 21:30hVenda Antecipada n' A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com/aautentica+ festa para maiores (e/ou menor de 18 acompanhado dos pais ou responsável legal com a guarda do menor)+ aceita-se cartões crédito e débito (visa master elo american express diners).+ cheques não+ não tem guarda-volumes (mas pode entrar com mochila but é revistada)+ Sujeito a lotação
116247382396886,836555646382493,2017-09-30T22:00:00-0300,30130-160,Domenico Lancellotti é uma figura chave na música contemporânea brasileira produtor músico um criador de ritmos chega a Belo Horizonte para lanças seu mais novo álbum solo “ Serra dos Órgãos” produzido em parceria com Sean O’Hagan do The High Llamas.  A abertura da noite conta com o talento de José Luis Braga e sua banda.Todas as canções de “ Serra dos Órgãos” têm um timbre orgânico são cinematograficamente ricas e têm escondidas por entre a sua beleza um gosto pela experimentação brincadeira e estímulo. Pode-se dizer que são um novo estado de espírito resultado da combinação perfeita entre Domenico um homem de ideias fazedor de melodias e ritmos e Sean.Domenico gravou as restantes oito músicas entre uma casa alugada na Serra dos Órgãos e o estúdio no Rio. Também participaram nas gravações Pedro Sá Kassin Alberto Continentino Stephane San Juan Bem Gil e Bruno di Lullo. Nas palavras do próprio Domenico: “O mundo acaba e começa de novo todos os dias. Agora juntamente com todos aqueles que caminham comigo abracei um planeta inteiro. Sei que o trabalho não tem fim mas por ora terminou uma fase”.José Luis Braga é cantor e compositor integrante fundador da banda graveola. De um tempo pra cá decidiu investir na consolidação de sua carreira solo por meio da produção de um álbum recheado de composições e arranjos inéditos que contaram com a participação de talentosas figuras da cena musical mineira. O projeto intitulado Nossa Casa foi viabilizado graças ao sucesso de uma campanha de financiamento coletivo lançada no fim de 2016. Enquanto isso o cantautor se prepara para apresentar sua obra acompanhado de uma banda que esbanja qualidade e requinte em uma formação nada convencional: Paulo Santos (ex-Uakti) e Josefina Cerqueira são responsáveis por conduzir marimbas e instrumentos percussivos; Bruno Pimenta na flauta Yuri Vellasco na bateria e Rafael Pimenta no violão e nos arranjos.ServiçoQuem: Domenico Lancellotti + José Luis BragaQuando: 30 de setembro - 22hOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BH MGQuanto: 20$ promocional / 25$ antecipado / 35$ portariaDiscotecagem: Dj Gabriel PeixotaAbertura da casa: 22hShows: 23hVenda Antecipada n' A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com/aautentica+ festa para maiores (e/ou menor de 18 acompanhado dos pais ou responsável legal com a guarda do menor)+ aceita-se cartões crédito e débito (visa master elo american express diners).+ cheques não+ não tem guarda-volumes (mas pode entrar com mochila but é revistada)+ Sujeito a lotação
360308187734147,836555646382493,2017-09-29T22:00:00-0300,30130-160,O Oceania trio de rock formado por Gustavo Drummond (Diesel / Udora) Daniel Debarry (Carahter / Udora) e Tulio Braga lança seu primeiro álbum Beneath The Surface disco de 10 faixas com guitarras distorcidas e melódicas. A noite conta ainda com a Versalle banda de rock representante de Rondônia que ganhou projeção nacional através de seus dois trabalhos de estúdio o álbum Distante em Algum Lugar [2015] (Ouça: https://goo.gl/GjgXiB) indicado ao Grammy Latino como melhor álbum de rock em língua portuguesa em 2016 e o EP Apenas [2016] (Ouça: https://goo.gl/2LNbNi) ambos pela selo Slap. Ingresso antecipado por R$ 15 no https://www.sympla.com.br/quente (ou na bilheteria da Autêntica de segunda a sexta de 8h às 18h) ou R$ 25 na hora do show.Ouça Beneath The Surface online:- https://oceaniamusica.bandcamp.com- https://open.spotify.com/album/2j4xu5B667gwXtOFdZr3y3
2064794323750849,836555646382493,2017-09-23T22:00:00-0300,30130-160,Em seu primeiro álbum intitulado Dark Matters o Falanstèr retrata o percurso de um eu lírico preso a um passado de angústias e decepções. Para se libertar de uma força maligna identificada como Angst que acabou sendo criada por si mesmo em seu interior ele inicia uma jornada em busca da energia antagônica chamada Starfire.O disco conta com a partipação do renomado compositor e violinista Marcus Viana na música “Burning Soul”. Outra partipação de peso é a de Guilherme de Alvarenga vocalista e tecladista da banda D.A.M de death metal melódico que gravou os vocais guturais na faixa Dark Matters que dá nome ao álbum.No lançamento do CD que será realizado no dia 23 de setembro deste mesmo ano na casa de shows A Autêntica o Falanstèr ira apresentar o disco completo. O evento contará também com mais duas bandas do cenário metal de Belo Horizonte: Agents of Havok Official (metal progressivo) e For Bella Spanka (metal gótico). Além disso todos os presentes terão direito a receber gratuitamente uma cópia digital do disco.ServiçoQuem: Falanstèr + For Bella Spanka + Agents of HavokQuando: 23 de setembro - 22hOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BH MGQuanto: 15$ antecipado / 20$ portariaAbertura da casa: 22hShows: 22:30hVenda Antecipada n' A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com/aautentica+ festa para maiores (e/ou menor de 18 acompanhado dos pais ou responsável legal com a guarda do menor)+ aceita-se cartões crédito e débito (visa master elo american express diners).+ cheques não+ não tem guarda-volumes (mas pode entrar com mochila but é revistada)+ Sujeito a lotação
1472287299514469,836555646382493,2017-09-22T21:00:00-0300,30130-160,E na 25ª edição das nossas Sessões Autênticas teremos os pockets shows: Dolores 602 e Radiotape. Os pockets shows de abertura que serão com alguns integrantes das bandas começam às 22h e a partir das 22:30h o palco tá liberado pra quem se inscreveu subir e fazer seu som!Os músicos que farão a abertura serão os jurados convidados que vão comentar as apresentações e ao fim da noite o voto popular e o voto dos jurados escolherão uma banda para abrir um show da nossa programação.A apresentação da noite fica por conta do sensacional incrível Francesco Napoli !!!Vamos as regras do Sessões Autênticas!- As inscrições começam na portaria da Autêntica às 20h e será feita por ordem de chegada;- A casa abrirá às 21h;- O pocket show da Banda Autêntica começa às 22h;- O palco aberto começará 22:30h e vai até 01:30h- A inscrição não é garantia que a banda irá se apresentar. Se o horário final chegar o evento se encerra;- Cada banda tem direito a apresentar 2 músicas ou 10min;- O Palco estará todo montado com: Bateria completa (BB caixa chimbal 1 tom 1 surdo 1 crash e 1 ride) 1 amplificador de baixo 1 amplificador de guitarra 2 direct box (violão e teclado) e 3 vozes;- A posição dos amplificadores não poderão ser alteradas;- A bateria não pode trocar pratos e caixas. Pode apenas reposicioná-los;- A banda que quiser levar um segundo amplificador de guitarra é permitido e será microfonado;- Ao fim das apresentações o público votará na sua atração favorita;- Os jurados também darão os seus votos;- O resultado da banda escolhida sairá ao fim da noite às 2h da manhãAgora junte sua banda chame sua turma e venha fazer um som no palco mais autoral da cidade!ENTRADA: R$ 1000 - (Músicos que forem se apresentar podem converter a entrada em consumoServiçoO que: Sessões Autênticas #25Quando: 22 de setembro de 2017 - 21 horasOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BHZ - MGQuanto: R$ 1000 - (Músicos que forem se apresentar podem converter a entrada em consumo.DicAAutêntica Filosófica: Se queres público seja público.+18 A entrada de menor de 18 anos só é permitida se acompanhado dos pais ou responsável legal.Aceitamos cartões de crédito Visa Mastercard Elo American Express e DinersNão aceitamos chequesNão possuímos guarda-volumesPermitimos o acesso com mochila desde que a mesma seja revistada
932791406860187,190935146953,2017-09-21T20:00:00-0300,30493-165,O percussionista mineiro Túlio Araújo está com seu terceiro álbum #Monduland fresquinho vindo da fábrica para lança-lo pela cidade. Após um show emocionante para milhares de pessoas no Savassi Festival é hora de espalhar o filho por aí.Túlio sempre teve uma parceria com A Autêntica que desde sua inaguração abre espaço de tempos em tempos pra ele. A idéia do #BotecoAutêntica é proporcionar música de excelência ao ar livre na calçada a um preço que não doa no bolso de ninguém. Você chega senta pede uma gelada e paga quanto puder ou achar que o som merece. Aos moldes do #TipJar já tão tradicional nos EUA e Europa.Será literalmente um show ao ar livre por quanto você puder pagar. Túlio Araújo será acompanhado por Jorge Continentino (Sax/Flauta) Lucas Telles (Violão 7 Cordas) Luísa Mitre (Teclado) e Tiago Araújo (Baixo). O repertório será voltado principalmente para as gravações do CD mas as releituras não vão faltar.Você não pode perder é uma oportunidade única. Acontecerá na Quinta-Feira 21 de Setembro à partir das 20 horas na calçada d'A Autêntica que fica na Rua Alagoas 1172 - Savassi. Informações ligar no (31) 99898-2459.-----Ainda não ouviu o novo álbum de Túlio Araújo?Acesse www.tulioaraujo.com e ouça/compre!
469447586721018,836555646382493,2017-09-17T13:00:00-0300,30130-160,Estamos preparando com muito carinho mais um ano do Anda logo Biel. Para quem não sabe Biel foi adotado com 1 ano e 2 meses e é portador de paralisia cerebral! Todo ano estamos fazendo esse evento para arrecadar fundos para ajudar em tratamentos e medicações. A renda da venda de ingressos será 100% revertida para ele!  Shows com: Tom Nascimento 80 futebol clube e Chris Mulato. Sorteio de diversos brindes.Teremos animação para a criançada com os Vingadores do Bem e com a querida Dani.Crianças até 10 anos não pagam!ServiçoO que: Anda logo Biel #2Quem: Tom Nascimento + 80 Futebol Clube + Atração surpresaQuando: 17 de setembro de 2017 - 13 horasOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BHZ - MGQuanto: 50$ entradaSe você quiser apenas ajudar e não ir ao evento você pode comprar a Cota Ajuda que não vale como entrada mas que será uma ajuda super bem vinda na nossa campanha!Venda Antecipada n' A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com.br/andalogobielOuJuliana 996412076+18 A entrada de menor de 18 anos só é permitida se acompanhado dos pais ou responsável legal.Aceitamos cartões de crédito Visa Mastercard Elo American Express e DinersNão aceitamos chequesNão possuímos guarda-volumesPermitimos o acesso com mochila desde que a mesma seja revistada
1424973144205432,836555646382493,2017-09-16T22:00:00-0300,30130-160,# # Bárbara Eugênia e Tatá Aeroplano lançam Vida Ventureira n`A Autêntica com abertura do Mordomo e discotecagem do DJ Gabriel Peixoto!!! # #Em março de 2017 Bárbara Eugênia e Tatá Aeroplano entraram no estúdio Minduca junto com Dustan Gallas Junior Boca Bruno Buarque Clayton Martin e Lenis Rino para gravar o disco Vida Ventureira álbum de parcerias inéditas que conta a história de um casal pé na estrada viajando pelo mundo.A dupla criou as canções na Fazenda Serrinha em contato com a natureza dionisíaca e cercados de muita arte. As músicas surgiram inspiradas num roteiro de cinema ideia proposta pela Bárbara que convidou Tatá para compor em parceria as histórias desse disco.Vida ventureira é um filme cantado tocado imaginado musicado. É a saga de um casal que sai numa viagem de descobertas e libertação.MordomoTransitando com facilidade entre o trompete e o vibrafone entre sons de sintetizadores e sutilezas eletrônicas apoiados por uma base que engloba violão de nylon piano elétrico guitarra baixo e bateria a dupla Bernardo Dias e Fernando Persiano faz um som autoral e polifônico que se espalha por influências que vão da MPB clássica ao jazz de cabaré dos anos 40.ServiçoQuem: Bárbara Eugênia + Tatá Aeroplano lançam Vida Ventureira + MordomoQuando: 16 de setembro - 22hOnde: A Autêntica - Rua Alagoas 1172 - Savassi - BH MGQuanto: 20$ promocional / 25$ antecipado / 35$ portariaDiscotecagem: Dj Gabriel PeixotoAbertura da casa: 22hShows: 23hVenda Antecipada n' A Autêntica de segunda à sexta de 08h às 18h ou na Sympla: www.sympla.com/aautentica+ festa para maiores (e/ou menor de 18 acompanhado dos pais ou responsável legal com a guarda do menor)+ aceita-se cartões crédito e débito (visa master elo american express diners).+ cheques não+ não tem guarda-volumes (mas pode entrar com mochila but é revistada)+ Sujeito a lotação
